dptmt.0.001*codeinseecommune superficie(hectare) x y nombred'inscrits nombredevotants nombredebulletinexprimés nomsansblancavecunders
1.266 1027 8149 21523 1728 1141 1057 MONTREVEL-EN-BRESSE
1.267 1934 8462 21367 703 552 533 NURIEUX-VOLOGNAT
1.268 646 8592 20767 200 153 149 MURS-ET-GELIGNIEUX
1.269 1279 8525 21334 1788 1217 1185 NANTUA
1.271 1033 8667 20869 439 304 287 NATTAGES
1.272 2659 8059 21326 1027 682 662 NEUVILLE-LES-DAMES
1.273 1979 8347 21248 1044 740 732 NEUVILLE-SUR-AIN
1.274 950 8547 21322 365 248 235 LES_NEYROLLES
1.275 536 8017 20938 1640 829 775 NEYRON
1.276 1046 8119 20955 1008 772 754 NIEVROZ
1.277 824 8427 21163 120 103 101 NIVOLLET-MONTGRIFFON
1.279 776 8431 21114 89 78 77 ONCIEU
1.28 1488 8487 20980 138 117 117 ORDONNAZ
1.281 564 8899 21479 1580 770 751 ORNEX
1.282 591 8483 21236 193 151 134 OUTRIAZ
1.283 3599 8558 21449 12169 6749 6387 OYONNAX
1.284 660 7983 21579 367 286 267 OZAN
1.285 314 7930 21047 675 460 429 PARCIEUX
1.286 553 8649 20884 295 202 197 PARVES
1.288 2601 8770 21385 1106 776 761 PERON
1.289 1755 8212 21350 4298 2232 1778 PERONNAS
1.29 1897 8205 21043 924 676 640 PEROUGES
1.291 1107 8037 21418 591 451 442 PERREX
1.292 2695 8575 21202 142 127 125 LE_PETIT-ABERGEMENT
1.293 596 8451 21332 162 123 123 PEYRIAT
1.294 1413 8602 20807 560 426 414 PEYRIEU
1.295 866 7915 21282 250 223 215 PEYZIEUX-SUR-SAONE
1.296 1299 8279 21567 290 237 236 PIRAJOUX
1.298 620 8617 21381 97 90 90 PLAGNE
1.299 1996 8131 21174 332 239 233 LE_PLANTAY
1.3 1790 8594 21327 314 216 210 LE_POIZAT
1.301 2007 8150 21425 1739 1067 1024 POLLIAT
1.302 371 8647 20946 132 112 109 POLLIEU
1.303 1977 8374 21252 1090 713 685 PONCIN
1.304 1122 8321 21209 1574 906 835 PONT-D'AIN
1.305 754 7999 21624 1493 870 831 PONT-DE-VAUX
1.306 194 7966 21436 920 544 517 PONT-DE-VEYLE
1.307 425 8497 21345 557 365 357 PORT
1.308 777 8791 21330 448 319 311 POUGNY
1.31 763 8579 20814 105 81 79 PREMEYZEL
1.311 851 8511 21023 53 47 46 PREMILLIEU
1.312 601 8347 21516 154 131 128 PRESSIAT
1.313 1207 8887 21464 2700 1453 1399 PREVESSIN-MOENS
1.314 1577 8287 21157 976 706 687 PRIAY
1.316 485 8574 20966 123 114 107 PUGIEU
1.317 986 8329 21372 187 174 172 RAMASSE
1.318 953 7962 21104 478 297 279 RANCE
1.319 1238 8020 21245 340 246 237 RELEVANT
1.32 1660 7963 21488 2501 1563 1477 REPLONGES
1.321 775 8312 21335 459 361 348 REVONNAS
1.322 1570 7928 21069 2769 1881 1797 REYRIEUX
1.323 954 7985 21624 615 460 442 REYSSOUZE
1.325 1502 8212 21084 670 513 495 RIGNIEUX-LE-FRANC
